label,games,seats,spectators,elapsed_s,applied_moves_per_s,lat_mean_us,lat_p99_us,spectator_conns,octogen_decisions,octogen_decisions_per_s,cpu_secs,cpu_cores_avg,rss_first_kb,rss_mean_kb,rss_peak_kb,rss_vmhwm_kb
scale_g1,1,1,0,20.03,0.6,128.3,224.0,0,7,0.35,1.180,0.059,13540,13555,13560,13560
scale_g8,8,1,0,20.01,5.0,111.9,229.6,0,56,2.80,6.090,0.304,14468,20627,20700,20656
scale_g32,32,1,0,20.02,19.2,189.0,282.5,0,222,11.09,21.240,1.062,14764,44779,45148,44892
scale_g96,96,1,0,20.03,57.0,608.1,946.6,0,635,31.70,46.660,2.333,12276,108603,110128,109660
scale_g160,160,1,0,20.23,95.1,2651.3,72258.7,0,1081,53.43,66.100,3.305,12216,171848,174856,174400
