label,games,seats,spectators,elapsed_s,applied_moves_per_s,lat_mean_us,lat_p99_us,spectator_conns,octogen_decisions,octogen_decisions_per_s,cpu_secs,cpu_cores_avg,rss_first_kb,rss_mean_kb,rss_peak_kb,rss_vmhwm_kb
scale_g1,1,1,0,20.03,0.6,122.5,342.2,0,7,0.35,1.220,0.061,13812,13857,13940,13940
scale_g8,8,1,0,20.03,4.6,76.6,256.1,0,56,2.80,6.380,0.319,19396,25888,26744,26308
scale_g32,32,1,0,20.02,19.5,91.5,310.5,0,224,11.19,22.750,1.137,14816,64659,70828,70708
scale_g96,96,1,0,20.17,51.3,299.8,1756.0,0,616,30.54,49.760,2.488,11744,163837,188024,187964
scale_g160,160,1,0,20.59,71.0,1005.2,5934.7,0,886,43.03,63.730,3.186,11844,246388,305428,305408
